DATE,OFFENSE
1/13/15,ASSAULT W/DANGEROUS WEAPON
1/13/15,ROBBERY
1/14/15,ROBBERY
1/14/15,ASSAULT W/DANGEROUS WEAPON
1/14/15,ASSAULT W/DANGEROUS WEAPON
1/14/15,ASSAULT W/DANGEROUS WEAPON
1/14/15,ASSAULT W/DANGEROUS WEAPON
1/14/15,ASSAULT W/DANGEROUS WEAPON
1/14/15,ASSAULT W/DANGEROUS WEAPON
1/14/15,ASSAULT W/DANGEROUS WEAPON
1/14/15,ROBBERY
1/14/15,ROBBERY
1/14/15,ROBBERY
1/14/15,ROBBERY
1/14/15,ASSAULT W/DANGEROUS WEAPON
1/14/15,ASSAULT W/DANGEROUS WEAPON
1/15/15,ASSAULT W/DANGEROUS WEAPON
1/15/15,ROBBERY
1/15/15,HOMICIDE
1/15/15,ASSAULT W/DANGEROUS WEAPON
1/15/15,ROBBERY
1/15/15,ROBBERY
1/15/15,ASSAULT W/DANGEROUS WEAPON
1/15/15,ROBBERY
1/15/15,ASSAULT W/DANGEROUS WEAPON
1/15/15,ASSAULT W/DANGEROUS WEAPON
1/15/15,ROBBERY
1/15/15,SEX ABUSE
1/15/15,ROBBERY
1/15/15,ROBBERY
1/15/15,ASSAULT W/DANGEROUS WEAPON
1/15/15,ROBBERY
1/16/15,ROBBERY
1/16/15,ASSAULT W/DANGEROUS WEAPON
1/16/15,ROBBERY
1/16/15,ROBBERY
1/16/15,ROBBERY
1/16/15,ASSAULT W/DANGEROUS WEAPON
1/16/15,ROBBERY
1/16/15,ROBBERY
1/16/15,ROBBERY
1/16/15,ROBBERY
1/16/15,ASSAULT W/DANGEROUS WEAPON
1/16/15,ROBBERY
1/16/15,ROBBERY
1/16/15,ROBBERY
1/16/15,ROBBERY
1/16/15,ROBBERY
1/16/15,ROBBERY
1/16/15,ASSAULT W/DANGEROUS WEAPON
1/16/15,ASSAULT W/DANGEROUS WEAPON
1/16/15,ASSAULT W/DANGEROUS WEAPON
1/16/15,ASSAULT W/DANGEROUS WEAPON
1/16/15,ASSAULT W/DANGEROUS WEAPON
1/17/15,ASSAULT W/DANGEROUS WEAPON
1/17/15,ASSAULT W/DANGEROUS WEAPON
1/17/15,ROBBERY
1/17/15,ROBBERY
1/17/15,ROBBERY
1/17/15,ASSAULT W/DANGEROUS WEAPON
1/17/15,ROBBERY
1/17/15,ASSAULT W/DANGEROUS WEAPON
1/17/15,ASSAULT W/DANGEROUS WEAPON
1/17/15,ROBBERY
1/17/15,ROBBERY
1/17/15,ROBBERY
1/18/15,ROBBERY
1/18/15,ASSAULT W/DANGEROUS WEAPON
1/18/15,ASSAULT W/DANGEROUS WEAPON
1/18/15,ASSAULT W/DANGEROUS WEAPON
1/18/15,ASSAULT W/DANGEROUS WEAPON
1/18/15,ROBBERY
1/18/15,ROBBERY
1/18/15,ROBBERY
1/18/15,ROBBERY
1/18/15,ROBBERY
1/18/15,ASSAULT W/DANGEROUS WEAPON
1/18/15,ROBBERY
1/18/15,ROBBERY
1/18/15,ASSAULT W/DANGEROUS WEAPON
1/18/15,ROBBERY
1/18/15,SEX ABUSE
1/18/15,ASSAULT W/DANGEROUS WEAPON
1/19/15,ROBBERY
1/19/15,ASSAULT W/DANGEROUS WEAPON
1/19/15,ROBBERY
1/19/15,ASSAULT W/DANGEROUS WEAPON
1/19/15,ROBBERY
1/19/15,HOMICIDE
1/19/15,ASSAULT W/DANGEROUS WEAPON
1/19/15,SEX ABUSE
1/19/15,ASSAULT W/DANGEROUS WEAPON
1/19/15,HOMICIDE
1/19/15,ASSAULT W/DANGEROUS WEAPON
1/19/15,ASSAULT W/DANGEROUS WEAPON
1/19/15,ROBBERY
1/19/15,ASSAULT W/DANGEROUS WEAPON
1/19/15,ASSAULT W/DANGEROUS WEAPON
1/19/15,ASSAULT W/DANGEROUS WEAPON
1/19/15,ASSAULT W/DANGEROUS WEAPON
1/19/15,ROBBERY
1/20/15,ASSAULT W/DANGEROUS WEAPON
1/20/15,ROBBERY
1/20/15,ROBBERY
1/20/15,ROBBERY
1/20/15,ASSAULT W/DANGEROUS WEAPON
1/20/15,ASSAULT W/DANGEROUS WEAPON
1/20/15,ROBBERY
1/20/15,ASSAULT W/DANGEROUS WEAPON
1/20/15,ASSAULT W/DANGEROUS WEAPON
1/20/15,ROBBERY
1/20/15,ASSAULT W/DANGEROUS WEAPON
1/20/15,ROBBERY
1/20/15,ROBBERY
1/20/15,ASSAULT W/DANGEROUS WEAPON
1/20/15,ASSAULT W/DANGEROUS WEAPON
1/20/15,ASSAULT W/DANGEROUS WEAPON
1/21/15,ROBBERY
1/21/15,ROBBERY
1/21/15,ASSAULT W/DANGEROUS WEAPON
1/21/15,ASSAULT W/DANGEROUS WEAPON
1/21/15,ROBBERY
1/21/15,ROBBERY
1/21/15,ASSAULT W/DANGEROUS WEAPON
1/21/15,ASSAULT W/DANGEROUS WEAPON
1/22/15,ROBBERY
1/22/15,ROBBERY
1/22/15,ASSAULT W/DANGEROUS WEAPON
1/22/15,ROBBERY
1/22/15,ASSAULT W/DANGEROUS WEAPON
1/22/15,ROBBERY
1/22/15,ROBBERY
1/22/15,ASSAULT W/DANGEROUS WEAPON
1/22/15,ROBBERY
1/23/15,ASSAULT W/DANGEROUS WEAPON
1/23/15,SEX ABUSE
1/23/15,ROBBERY
1/23/15,ASSAULT W/DANGEROUS WEAPON
1/23/15,ASSAULT W/DANGEROUS WEAPON
1/23/15,ROBBERY
1/23/15,ROBBERY
1/23/15,ROBBERY
1/23/15,ASSAULT W/DANGEROUS WEAPON
1/23/15,ASSAULT W/DANGEROUS WEAPON
1/23/15,ROBBERY
1/23/15,ROBBERY
1/24/15,ASSAULT W/DANGEROUS WEAPON
1/24/15,ASSAULT W/DANGEROUS WEAPON
1/24/15,ASSAULT W/DANGEROUS WEAPON
1/24/15,ASSAULT W/DANGEROUS WEAPON
1/24/15,ASSAULT W/DANGEROUS WEAPON
1/24/15,ROBBERY
1/24/15,ASSAULT W/DANGEROUS WEAPON
1/24/15,ASSAULT W/DANGEROUS WEAPON
1/24/15,ROBBERY
1/24/15,ROBBERY
1/24/15,ROBBERY
1/24/15,SEX ABUSE
1/24/15,ASSAULT W/DANGEROUS WEAPON
1/25/15,ROBBERY
1/25/15,ASSAULT W/DANGEROUS WEAPON
1/25/15,SEX ABUSE
1/25/15,ROBBERY
1/25/15,ASSAULT W/DANGEROUS WEAPON
1/25/15,ASSAULT W/DANGEROUS WEAPON
1/25/15,ROBBERY
1/25/15,ROBBERY
1/25/15,ROBBERY
1/25/15,ROBBERY
1/25/15,ASSAULT W/DANGEROUS WEAPON
1/25/15,ROBBERY
1/25/15,ROBBERY
1/25/15,ASSAULT W/DANGEROUS WEAPON
1/25/15,HOMICIDE
1/25/15,ROBBERY
1/25/15,ROBBERY
1/25/15,ROBBERY
1/25/15,ASSAULT W/DANGEROUS WEAPON
1/25/15,ROBBERY
1/25/15,ROBBERY
1/25/15,ASSAULT W/DANGEROUS WEAPON
1/25/15,ROBBERY
1/25/15,ROBBERY
1/25/15,ASSAULT W/DANGEROUS WEAPON
1/25/15,ASSAULT W/DANGEROUS WEAPON
1/26/15,ROBBERY
1/26/15,ROBBERY
1/26/15,ASSAULT W/DANGEROUS WEAPON
1/26/15,ROBBERY
1/26/15,ROBBERY
1/26/15,ROBBERY
1/26/15,ASSAULT W/DANGEROUS WEAPON
1/26/15,ASSAULT W/DANGEROUS WEAPON
1/26/15,ROBBERY
1/26/15,ROBBERY
1/26/15,ASSAULT W/DANGEROUS WEAPON
1/26/15,ASSAULT W/DANGEROUS WEAPON
1/26/15,ROBBERY
1/27/15,ASSAULT W/DANGEROUS WEAPON
1/27/15,ASSAULT W/DANGEROUS WEAPON
1/27/15,ASSAULT W/DANGEROUS WEAPON
1/27/15,ROBBERY
1/27/15,ROBBERY
1/27/15,ASSAULT W/DANGEROUS WEAPON
1/27/15,ROBBERY
1/27/15,ASSAULT W/DANGEROUS WEAPON
1/27/15,ASSAULT W/DANGEROUS WEAPON
1/27/15,ROBBERY
1/28/15,ROBBERY
1/28/15,ROBBERY
1/28/15,ASSAULT W/DANGEROUS WEAPON
1/28/15,ASSAULT W/DANGEROUS WEAPON
1/28/15,ROBBERY
1/28/15,ROBBERY
1/28/15,ROBBERY
1/28/15,ROBBERY
1/28/15,ASSAULT W/DANGEROUS WEAPON
1/28/15,ROBBERY
1/28/15,ROBBERY
1/28/15,ROBBERY
1/28/15,ASSAULT W/DANGEROUS WEAPON
1/28/15,ROBBERY
1/28/15,SEX ABUSE
1/29/15,ASSAULT W/DANGEROUS WEAPON
1/29/15,ROBBERY
1/29/15,ASSAULT W/DANGEROUS WEAPON
1/29/15,ROBBERY
1/29/15,ASSAULT W/DANGEROUS WEAPON
1/29/15,ROBBERY
1/29/15,ASSAULT W/DANGEROUS WEAPON
1/29/15,ROBBERY
1/29/15,ASSAULT W/DANGEROUS WEAPON
1/30/15,ROBBERY
1/30/15,ROBBERY
1/30/15,ASSAULT W/DANGEROUS WEAPON
1/30/15,ROBBERY
1/30/15,ASSAULT W/DANGEROUS WEAPON
1/30/15,ROBBERY
1/30/15,ASSAULT W/DANGEROUS WEAPON
1/30/15,ROBBERY
1/30/15,ASSAULT W/DANGEROUS WEAPON
1/30/15,ROBBERY
1/30/15,ASSAULT W/DANGEROUS WEAPON
1/30/15,ASSAULT W/DANGEROUS WEAPON
1/30/15,ROBBERY
1/30/15,ROBBERY
1/30/15,ROBBERY
1/30/15,ROBBERY
1/30/15,ASSAULT W/DANGEROUS WEAPON
1/30/15,ROBBERY
1/30/15,ASSAULT W/DANGEROUS WEAPON
1/30/15,ROBBERY
1/31/15,ASSAULT W/DANGEROUS WEAPON
1/31/15,ROBBERY
1/31/15,ROBBERY
1/31/15,ASSAULT W/DANGEROUS WEAPON
1/31/15,ASSAULT W/DANGEROUS WEAPON
1/31/15,ROBBERY
1/31/15,ASSAULT W/DANGEROUS WEAPON
1/31/15,ROBBERY
1/31/15,ROBBERY
1/31/15,ROBBERY
1/31/15,ROBBERY
1/31/15,ROBBERY
2/1/15,ASSAULT W/DANGEROUS WEAPON
2/1/15,ASSAULT W/DANGEROUS WEAPON
2/1/15,ASSAULT W/DANGEROUS WEAPON
2/1/15,ASSAULT W/DANGEROUS WEAPON
2/1/15,SEX ABUSE
2/1/15,ASSAULT W/DANGEROUS WEAPON
2/1/15,ROBBERY
